data_time,hyyhs_cnt,hyjzyhs_cnt,tgyhzs_cnt,data_update_time
20191203,1335662.0,622630.0,30970774.0,2020-1-19 18:32
20191204,1591307.0,756234.0,31946702.0,2020-1-19 18:37
20191205,1798502.0,28548.0,33077388.0,2020-1-19 18:42
20191206,1496541.0,604826.0,34021718.0,2020-1-19 18:47
20191207,1260290.0,482388.0,34710966.0,2020-1-19 18:52
20191208,1141900.0,457248.0,35309054.0,2020-1-19 18:57
20191209,1542495.0,606594.0,36203870.0,2020-1-19 19:02
20191210,1371445.0,586620.0,36970024.0,2020-1-19 19:08
20191211,1328271.0,599196.0,37791420.0,2020-1-19 19:14
20191212,1356590.0,610778.0,38615049.0,2020-1-19 19:19
20191213,1400434.0,598714.0,39448713.0,2020-1-19 19:24
20191214,1635992.0,755130.0,40028465.0,2020-1-19 19:30
20191215,1324008.0,129628.0,40507097.0,2020-1-19 19:35
20191216,1625435.0,697212.0,41189053.0,2020-1-19 19:41
20191217,1661871.0,708453.0,41981565.0,2020-1-19 19:47
20191218,1723804.0,718796.0,42819025.0,2020-1-19 19:52
20191219,1778392.0,590778.0,43679389.0,2020-1-19 19:58
20191220,1770653.0,494756.0,44500318.0,2020-1-19 20:03
20191221,1298760.0,371688.0,44987202.0,2020-1-19 20:10
20191222,1331373.0,373544.0,45478776.0,2020-1-19 20:15
20191223,1705567.0,474943.0,46218240.0,2020-1-19 20:21
20191224,1615727.0,474726.0,46943534.0,2020-1-19 20:27
20191225,1548287.0,476568.0,47637754.0,2020-1-19 20:33
20191226,1436496.0,473054.0,48336542.0,2020-1-19 20:38
20191227,1363848.0,450102.0,48977752.0,2020-1-19 20:44
20191228,1156564.0,373560.0,49469166.0,2020-1-19 20:50
20191229,1092034.0,364652.0,49893060.0,2020-1-19 20:56
20191230,1269629.0,433596.0,50382160.0,2020-1-19 21:01
20191231,1187659.0,408052.0,50815942.0,2020-1-19 21:09
20200101,834570.0,308226.0,50954738.0,2020-1-19 21:15
20200102,1104093.0,446688.0,51251926.0,2020-1-19 21:22
20200103,1234660.0,520426.0,51650000.0,2020-1-19 21:27
20200104,1123923.0,497110.0,51965524.0,2020-1-19 21:34
20200105,1124628.0,500240.0,52261642.0,2020-1-19 21:40
20200106,1251339.0,564760.0,52595620.0,2020-1-19 21:46
20200107,1290259.0,555964.0,52949822.0,2020-1-19 21:52
20200108,1323452.0,564920.0,53353750.0,2020-1-19 21:58
20200109,1398416.0,557162.0,53693736.0,2020-1-19 22:06
20200110,1332093.0,537532.0,53986042.0,2020-1-19 22:13
20200111,1234520.0,485354.0,54204816.0,2020-1-19 22:19
20200112,1078071.0,470702.0,54417396.0,2020-1-19 22:26
20200113,1284019.0,533316.0,54712286.0,2020-1-19 22:32
20200114,1413546.0,518056.0,55039946.0,2020-1-19 22:38
20200115,1455787.0,530122.0,55315060.0,2020-1-19 22:44
20200116,1463838.0,595540.0,55641668.0,2020-1-17 6:53
20200117,1530382.0,628304.0,55935634.0,2020-1-18 6:47
20200118,1415852.0,575486.0,56178152.0,2020-1-20 14:50
20200119,1449160.0,598992.0,56445178.0,2020-1-20 8:27
20200120,1552086.0,622436.0,56752400.0,2020-1-21 6:43
20200121,1425776.0,581002.0,57023202.0,2020-1-22 6:45
20200122,1468940.0,570138.0,57275668.0,2020-1-23 6:42
20200123,1385844.0,533210.0,57497498.0,2020-1-24 6:42
20200124,1312721.0,436036.0,57633588.0,2020-1-25 6:40
20200125,1161703.0,386698.0,57731810.0,2020-1-26 6:41
20200126,1231802.0,437196.0,57849878.0,2020-1-27 6:43
20200127,1306805.0,474696.0,57989688.0,2020-1-28 6:41
20200128,1417154.0,503928.0,58155634.0,2020-1-29 6:39
20200129,1409679.0,507210.0,58308248.0,2020-1-30 6:42
20200130,1439271.0,523064.0,58464908.0,2020-1-31 6:41
20200131,1553690.0,459086.0,58639294.0,2020-2-1 6:42
20200201,1551362.0,455052.0,58735532.0,2020-2-2 6:43
20200202,1630875.0,515306.0,58969918.0,2020-2-3 6:46
20200203,1689453.0,540290.0,59155722.0,2020-2-4 6:45
